frame	crossing	r0	top_r1	split_r1	r5
7356	0	FC	E2	0A	0A
7357	0	FC	E2	0A	0A
7358	0	FC	E2	0A	0A
7359	0	FC	E2	0A	0A
7360	0	FC	E2	0A	0A
7361	0	FC	E2	0A	0A
7362	0	FC	E2	0A	0A
7363	0	FC	E2	0A	0A
7364	0	FC	E2	0A	0A
7365	0	FC	E2	0A	0A
7366	0	FC	E2	0A	0A
7367	0	FC	E2	0A	0A
7368	0	FC	E2	0A	0A
7369	0	FC	E2	0A	0A
7370	0	FC	E2	0A	0A
7371	0	FC	E2	0A	0A
7372	0	FC	E2	0A	0A
7373	0	FC	E2	0A	0A
7374	0	FC	E2	0A	0A
7375	0	FC	E2	0A	0A
7376	0	FC	E2	0A	0A
7377	0	FC	E2	0A	0A
7378	0	FC	E2	0A	0A
7379	0	FC	E2	0A	0A
7380	0	FC	E2	0A	0A
7381	0	FC	E2	0A	0A
7382	0	FC	E2	0A	0A
7383	0	FC	E2	0A	0A
7384	0	FC	E2	0A	0A
7385	0	FC	E2	0A	0A
7386	0	FC	E2	0A	0A
7387	0	FC	E2	0A	0A
7388	0	FC	E2	0A	0A
7389	0	FC	E2	0A	0A
7390	0	FC	E2	0A	0A
7391	0	FC	E2	0A	0A
7392	0	FC	E2	0A	0A
7393	0	FC	E2	0A	0A
7394	0	FC	E2	0A	0A
7395	0	FC	E2	0A	0A
7396	0	FC	E2	0A	0A
7397	0	FC	E2	0A	0A
7398	0	FC	E2	0A	0A
7399	0	FC	E2	0A	0A
7400	0	FC	E2	0A	0A
