frame	crossing	04D9	03BC_03C5	03C6_03CF
6941	0	E2	FC FC 08 00 00 00 00 00 00 00	14 14 00 00 00 00 00 00 00 00
6942	0	E2	FC FC 08 00 00 00 00 00 00 00	14 14 00 00 00 00 00 00 00 00
6943	0	E2	FC FC 08 00 00 00 00 00 00 00	14 14 00 00 00 00 00 00 00 00
6944	0	E2	FC FC 08 00 00 00 00 00 00 00	14 14 00 00 00 00 00 00 00 00
6945	0	E2	FC FC 08 00 00 00 00 00 00 00	14 14 00 00 00 00 00 00 00 00
6946	0	E2	FC FC 08 00 00 00 00 00 00 00	14 14 00 00 00 00 00 00 00 00
6947	0	E2	FC FC 08 00 00 00 00 00 00 00	14 14 00 00 00 00 00 00 00 00
6948	0	E2	FC FC 08 00 00 00 00 00 00 00	14 14 00 00 00 00 00 00 00 00
6949	0	E2	FC FC 08 00 00 00 00 00 00 00	14 14 00 00 00 00 00 00 00 00
6950	0	E2	FC FC 08 00 00 00 00 00 00 00	14 14 00 00 00 00 00 00 00 00
6951	0	E2	FC FC 08 00 00 00 00 00 00 00	14 14 00 00 00 00 00 00 00 00
6952	0	E2	FC FC 08 00 00 00 00 00 00 00	14 14 00 00 00 00 00 00 00 00
6953	0	E2	FC FC 08 00 00 00 00 00 00 00	14 14 00 00 00 00 00 00 00 00
6954	0	E2	FC FC 08 00 00 00 00 00 00 00	14 14 00 00 00 00 00 00 00 00
6955	0	E2	FC FC 08 00 00 00 00 00 00 00	14 14 00 00 00 00 00 00 00 00
6956	0	E2	FC FC 08 00 00 00 00 00 00 00	14 14 00 00 00 00 00 00 00 00
6957	0	E2	FC FC 08 00 00 00 00 00 00 00	14 14 00 00 00 00 00 00 00 00
6958	0	E2	FC FC 08 00 00 00 00 00 00 00	14 14 00 00 00 00 00 00 00 00
6959	0	E2	FC FC 08 00 00 00 00 00 00 00	14 14 00 00 00 00 00 00 00 00
6960	0	E2	FC FC 08 00 00 00 00 00 00 00	14 14 00 00 00 00 00 00 00 00
